-69.000000,-91.000000,-3.000000,-21.000000,-34.000000,41.000000,71.000000,66.000000,82.000000,-92.000000,-21.000000,-96.000000,-98.000000,-47.000000,30.000000,92.000000
-68.999553,-90.999695,-3.000219,-20.999770,-33.999625,40.999810,70.999093,66.000256,81.999728,-91.999814,-21.000453,-95.999557,-97.999408,-47.000218,30.000012,91.999530
-68.998213,-90.998781,-3.000876,-20.999079,-33.998499,40.999238,70.996372,66.001024,81.998912,-91.999256,-21.001812,-95.998230,-97.997633,-47.000871,30.000050,91.998120
-68.995980,-90.997256,-3.001972,-20.997927,-33.996622,40.998287,70.991836,66.002304,81.997552,-91.998327,-21.004077,-95.996017,-97.994674,-47.001959,30.000112,91.995769
-68.992853,-90.995122,-3.003506,-20.996315,-33.993994,40.996954,70.985486,66.004097,81.995649,-91.997025,-21.007249,-95.992919,-97.990531,-47.003482,30.000199,91.992478
-68.988832,-90.992378,-3.005478,-20.994242,-33.990616,40.995240,70.977321,66.006402,81.993201,-91.995352,-21.011327,-95.988936,-97.985204,-47.005441,30.000312,91.988246
-68.983917,-90.989024,-3.007889,-20.991708,-33.986486,40.993146,70.967340,66.009220,81.990210,-91.993306,-21.016312,-95.984068,-97.978694,-47.007836,30.000449,91.983074
-68.978108,-90.985060,-3.010738,-20.988712,-33.981606,40.990670,70.955542,66.012551,81.986674,-91.990889,-21.022204,-95.978314,-97.970999,-47.010666,30.000613,91.976960
-68.971404,-90.980487,-3.014025,-20.985256,-33.975974,40.987814,70.941927,66.016396,81.982595,-91.988099,-21.029004,-95.971675,-97.962119,-47.013932,30.000802,91.969906
-68.963805,-90.975302,-3.017751,-20.981338,-33.969591,40.984576,70.926493,66.020754,81.977971,-91.984938,-21.036713,-95.964150,-97.952055,-47.017634,30.001017,91.961910
-68.955311,-90.969508,-3.021915,-20.976959,-33.962457,40.980957,70.909240,66.025628,81.972804,-91.981405,-21.045331,-95.955739,-97.940805,-47.021773,30.001259,91.952971
-68.945921,-90.963103,-3.026518,-20.972118,-33.954571,40.976956,70.890165,66.031016,81.967092,-91.977499,-21.054858,-95.946442,-97.928370,-47.026347,30.001527,91.943091
-68.935635,-90.956088,-3.031560,-20.966814,-33.945933,40.972574,70.869267,66.036921,81.960836,-91.973222,-21.065296,-95.936260,-97.914749,-47.031359,30.001823,91.932268
-68.924451,-90.948462,-3.037040,-20.961049,-33.936543,40.967810,70.846545,66.043342,81.954037,-91.968572,-21.076645,-95.925191,-97.899941,-47.036807,30.002146,91.920502
-68.912370,-90.940225,-3.042959,-20.954820,-33.926401,40.962665,70.821996,66.050280,81.946693,-91.963550,-21.088907,-95.913236,-97.883947,-47.042692,30.002498,91.907792
-68.899390,-90.931378,-3.049318,-20.948129,-33.915507,40.957137,70.795619,66.057736,81.938805,-91.958156,-21.102082,-95.900394,-97.866765,-47.049015,30.002878,91.894137
-68.885512,-90.921919,-3.056115,-20.940974,-33.903860,40.951227,70.767412,66.065712,81.930372,-91.952389,-21.116171,-95.886665,-97.848395,-47.055776,30.003288,91.879538
-68.870733,-90.911848,-3.063352,-20.933356,-33.891460,40.944934,70.737373,66.074208,81.921396,-91.946251,-21.131177,-95.872048,-97.828837,-47.062974,30.003727,91.863993
-68.855054,-90.901166,-3.071028,-20.925273,-33.878307,40.938258,70.705498,66.083225,81.911875,-91.939739,-21.147099,-95.856545,-97.808089,-47.070612,30.004197,91.847503
-68.838473,-90.889872,-3.079144,-20.916726,-33.864400,40.931200,70.671785,66.092764,81.901809,-91.932855,-21.163939,-95.840153,-97.786151,-47.078688,30.004699,91.830065
-68.820989,-90.877966,-3.087699,-20.907714,-33.849739,40.923758,70.636232,66.102827,81.891200,-91.925599,-21.181699,-95.822874,-97.763023,-47.087203,30.005232,91.811679
-68.802602,-90.865447,-3.096694,-20.898236,-33.834325,40.915933,70.598836,66.113415,81.880045,-91.917969,-21.200381,-95.804706,-97.738703,-47.096159,30.005798,91.792345
-68.783310,-90.852316,-3.106129,-20.888292,-33.818155,40.907724,70.559594,66.124529,81.868346,-91.909967,-21.219985,-95.785650,-97.713191,-47.105554,30.006398,91.772061
-68.763112,-90.838571,-3.116004,-20.877882,-33.801231,40.899130,70.518502,66.136170,81.856103,-91.901592,-21.240513,-95.765704,-97.686485,-47.115391,30.007033,91.750827
-68.742007,-90.824214,-3.126320,-20.867004,-33.783551,40.890153,70.475557,66.148341,81.843315,-91.892845,-21.261968,-95.744869,-97.658585,-47.125668,30.007703,91.728642
-68.719994,-90.809243,-3.137076,-20.855659,-33.765116,40.880790,70.430755,66.161041,81.829982,-91.883724,-21.284350,-95.723144,-97.629491,-47.136388,30.008409,91.705504
-68.697071,-90.793658,-3.148272,-20.843846,-33.745924,40.871043,70.384093,66.174275,81.816104,-91.874230,-21.307663,-95.700529,-97.599200,-47.147549,30.009153,91.681414
-68.673238,-90.777458,-3.159910,-20.831564,-33.725976,40.860909,70.335567,66.188042,81.801681,-91.864362,-21.331908,-95.677023,-97.567712,-47.159154,30.009936,91.656368
-68.648492,-90.760644,-3.171988,-20.818812,-33.705270,40.850390,70.285174,66.202344,81.786714,-91.854122,-21.357086,-95.652627,-97.535027,-47.171202,30.010758,91.630367
-68.622832,-90.743215,-3.184508,-20.805589,-33.683808,40.839485,70.232907,66.217184,81.771201,-91.843507,-21.383201,-95.627338,-97.501141,-47.183695,30.011621,91.603410
-68.596257,-90.725171,-3.197469,-20.791896,-33.661587,40.828193,70.178764,66.232564,81.755143,-91.832520,-21.410254,-95.601158,-97.466056,-47.196632,30.012526,91.575494
